word,nikkud,transliteration
ברוזן,בַּרְוָזָן,barvazán
ברוח,בְּרוּחַ,berúakh
ברוטו,בְּרוּטוֹ,brúto
ברוטו,בְּרוּטוֹ,brúto
ברוך,בְּרוֹךְ,brokh
ברוך,בָּרוּךְ,barúkh
ברום,בְּרוֹם,brom
ברומא,בְּרוֹמָא,beróma
ברומטר,בָּרוֹמֶטֶר,barométer
ברוקולי,בְּרוֹקוֹלִי,brókoli
ברוקר,בְּרוֹקֶר,bróker
ברור,בָּרוּר,barúr
ברוש,בְּרוֹשׁ,brosh
ברות,בָּרוּת,barút
ברז,בֶּרֶז,bérez
ברזיל,בְּרָזִיל,brazíl
ברזל,בַּרְזֶל,barzél
ברזלי,בַּרְזִלַּי,barziláy
ברזלי,בַּרְזִלִּי,barzilí
ברזנט,בְּרֶזֶנְט,brezént
בריא,בָּרִיא,barí
בריאות,בְּרִיאוּת,briú
בריאות,בְּרִיאוּת,briút
בריאותי,בְּרִיאוּתִי,briutí
בריאתנות,בְּרִיאָתָנוּת,briatanút
בריג,בְּרִיג,brig
בריגנטינה,בְּרִיגָנְטִינָה,brigantína
בריגנית,בְּרִיגָנִית,briganít
בריה,בִּרְיָה,biryá
בריו,בֻּרְיוֹ,buryó
בריום,בַּרְיוֹם,baryóm
בריום,בַּרְיוּם,báryum
בריון,בִּרְיוֹן,biryon
בריונות,בִּרְיוֹנוּת,biryonút
בריוש,בְּרִיּוֹשׁ,briyósh
בריזה,בְּרִיזָה,bríza
בריח,בְּרִיחַ,beríah
בריח,בָּרִיחַ,baríakh
בריח,בָּרִיחַ,baríah
בריחת,בְּרִיחַת,brikhát
בריטון,בָּרִיטוֹן,báriton
בריטי,בְּרִיטִי,bríti
בריטניה,בְּרִיטַנְיָה,británya
בריל,בְּרַיְל,brayl
בריליום,בֶּרִילְיוּם,berílyum
בריק,בְּרֵיק,beréyk
בריקדות,בָּרִיקָדוֹת,barikádot
בריש,בְּרֵישׁ,beréysh
ברית,בְּרִית,brit
ברית,בֹּרִית,borít
בריתא,בָּרָיְתָא,baraytá
ברך,בֶּרֶךְ,bérekh
ברכה,בְּרָכָה,brakhá
ברכה,בְּרֵכָה,brekhá
ברכות,בִּרְכוֹת,birckót
ברכיה,בְּרֵכִיָּה,brekhiyá
ברכיה,בִּרְכִּיָּה,birkiyá
ברכים,בִּרְכַּיִם,birkáyim
ברכת,בְּרֵכַת,brekhát
ברכת,בִּרְכַּת,birkát
ברלה,בֶּרָלֶה,bérale
ברם,בְּרַם,bram
ברמודה,בֶּרְמוּדָה,bermúda
ברמודי,בֶּרְמוּדִי,bermúdi
ברמן,בַּרְמֶן,bármen
ברנדי,בְּרֶנְדִּי,brendí
ברנש,בַּרְנָשׁ,barnásh
ברק,בָּרָק,barák
ברקאי,בַּרְקַאי,barkái
ברקוד,בַּרְקוֹד,barcód
ברקית,בַּרְקִית,barkít
ברקליום,בֶּרְקֶלְיוּם,berkélyum
ברקנטינה,בַּרְקֶנְטִינָה,barkentína
ברקנית,בַּרְקָנִית,barkanít
ברקת,בָּרֶקֶת,baréket
בררה,בְּרָרָה,brára
בררה,בְּרֵרָה,brerá
בררת,בְּרֵרַת,brerát
ברשות,בִּרְשׁוּת,birshút
בש,בֵּשׁ,besh
בשאלה,בִּשְׁאֵלָה,bish'elá
בשבט,בִּשְׁבָט,bishvát
בשביל,בִּשְׁבִיל,bishvíl
בשבילי,בִּשְׁבִילִי,bishvilí
בשבע,בְּשֶׁבַע,beshéva
בשוטטות,בְּשׁוֹטְטוֹת,beshotetót
בשול,בִּשּׁוּל,bishúl
בשורה,בְּשׂוֹרָה,bsorá
בשושנים,בַּשּׁוֹשַׁנִּים,bashoshaním
בשכבר,בְּשֶכְּבָר,beshekvar
בשכרו,בִּשְׂכָרוֹ,beskháro
בשל,בָּשֵׁל,bashél
בשל,בִּשֵּׁל,bishél
בשל,בְּשֶׁל,beshél
בשם,בֹּשֶׂם,bósem
בשמחה,בְּשִׂמְחָה,besimkhá
בשמת,בְּשֹׂמֶת,bsómet
בשמת,בָּשְׂמַת,bosmát
בשנה,בָּשְׁנָה,báshna
בשני,בִּשְׁנֵי,bishnéy
בשער,בַּשַּׁעַר,bashá'ar
בשפי,בְּשֹׁפִי,beshófi
בשק,בַּשַּׂק,basák
בשר,בָּשָֹר,basár
בשר,בְּשַׂר,basár
בשר,בָּשָׂר,basár
בשרוני,בִּשְׂרוֹנִי,bisroní
בששים,בְּשִׁשִּׁים,beshishím
בשת,בֹּשֶׁת,bóshet
בשת,בֹּשֶׁת,boshét
בת,בַּת,bat
בתאבון,בְּתֵאָבוֹן,beteavón
בתבה,בַּתֵּבָה,batevá
בתה,בָּתָה,batá
בתולה,בְּתוּלָה,betulá
בתולים,בְּתוּלִים,betúlim
בתולים,בְּתוּלִים,betulím
בתולים,בְּתוּלִים,bétulim
בתולין,בְּתוּלִין,betulín
בתור,בְּתוֹר,betór
בתורה,בַּתּוֹרָה,batorá
בתיה,בִּתְיָה,bityá
בתיסקף,בָּתִיסְקָף,batiskáf
בתלם,בַּתֶּלֶם,batélem
בתפים,בְּתֻפִּים,betupím
בתר,בֶּתֶר,béter
בתרון,בִּתְרוֹן,bitrón
בתשובה,בִּתְשׁוּבָה,bitshuvá
ג'בסקו,גָּ'בְּסְקוֹ,jábsko
ג'וב,ג'וֹבּ,job
ג'ובניק,ג'וֹבְּנִיק,jobník
ג'וינט,ג'וֹיְנְט,joint
ג'ויסטיק,ג'וֹיְסְטִיק,joystík
ג'ולה,ג'וּלָה,júla
ג'וליבוט,גּ'וֹלִיבּוֹט,jólibot
ג'ונגל,ג'וּנְגֶּל,djúngel
ג'ונקה,ג'וּנְקָה,djúnka
ג'וק,ג'וּק,juk
ג'וקר,ג'וֹקֶר,djóker
ג'ורג'יה,ג'וֹרְגִ'יָּה,jórjya
ג'ורה,גּ'וֹרָה,djóra
ג'חנון,גַ'חְנוּן,jahnún
ג'ט,גֶּ'ט,jet
ג'ט,גֶ'ט,jet
ג'י,גִ'י,ji
ג'יבריש,גִ'יבְּרִישׁ,djíbrish
ג'ינג'י,גִ'ינְגִ'י,jínji
ג'ינג'ר,גִ'ינְגֶ'ר,jínjer
ג'ינגל,גִ'ינְגֶּל,gíngel
ג'ינס,גִּ'ינְס,djins
ג'יפ,גִ'יפּ,djip
ג'ירפה,גִּ'ירָפָה,djiráfa
ג'ל,גֶ'ל,jel
ג'לטין,גֶ'לָטִין,gelatín
ג'מוס,גָ'מוּס,jamús
ג'מיקה,גָ'מַיְקָה,jamáyka
ג'נטלמן,גֶ'נְטְלְמֶן,djentelmén
ג'סטה,גֶ'סְטָה,jésta
ג'ק,גֵּ'ק,djek
ג'ק,גֶ'ק,jek
ג'קוזי,גָ'קוּזִי,djakúzi
ג'קסון,גֶ'קְסוֹן,jékson
ג'ריקן,גֶ'רִיקָן,jérikan
גאדג'ט,גַּאדְגֵּ'ט,gádjet
גאה,גֵּאֶה,geé
גאובוטניקה,גֵּאוֹבּוֹטָנִיקָה,geobotánika
גאוגליף,גֵּאוֹגְלִיף,geoglíf
גאוגרף,גֵּאוֹגְרָף,geográf
גאוגרפיה,גֵּאוֹגְרַפְיָה,geográfya
גאודזיה,גֵּאוֹדֶזְיָה,geodézya
גאוה,גַּאֲוָה,gaavá
גאוכימי,גֵּאוֹכִימִי,geokhími
גאוכרונולוגיה,גֵּאוֹכְרוֹנוֹלוֹגְיָה,geokhronológya
גאולוגי,גֵּאוֹלוֹגִי,geológi
גאולוגיה,גֵּאוֹלוֹגְיָה,geológyah
גאולוגיה,גֵּאוֹלוֹגְיָה,geológya
גאומטרי,גֵּאוֹמֶטְרִי,geométri
גאומטריה,גֵּאוֹמֶטְרְיָה,géometriya
גאומטריה,גֵּאוֹמֶטְרְיָה,geométria
גאומטריה,גֵּאוֹמֶטְרִיָּה,geométriya
גאון,גָּאוֹן,gáon
גאופוליטיקה,גֵּאוֹפּוֹלִיטִיקָה,geópolitika
גאופיזיקה,גֵּאוֹפִיזִיקָה,geofízika
גאופיט,גֵּאוֹפִיט,geofít
גאוצ'ו,גָּאוּצ'וֹ,gaúcho
גאורגי,גֵּאוֹרְגִּי,georgí
גאות,גֵּאוּת,geút
גאותנות,גַּאַוְתָנוּת,gaavtanút
גאל,גֹֹּאַל,góal
גאלה,גְּאֻלָּה,geulá
גאליוט,גַּאלְיוֹט,gályot
גב,גֵּב,gev
גב,גֹּב,gov
גב,גַּב,gav
גבאי,גַּבַּאי,gabáy
גבבה,גְּבָבָה,gvavá
גבה,גֹּבַהּ,góva
גבה,גַּבָּה,gabá
גבה,גֹּבַהּ,góvah
גבהית,גָּבְהִית,govhít
גבוהה,גְּבוֹהָה,gvohá
גבול,גְּבוּל,gvul
גבול,גִּבּוּל,gibúl
גבוע,גִּבּוּעַ,gibú'a
גבור,גִּבּוֹר,gibór
גבורה,גְּבוּרָה,gvurá
גבח,גִּבֵּחַ,gibe'áh
גבחת,גַּבַּחַת,gabákhat
גבין,גָּבִין,gavín
גבינה,גְּבִינָה,gviná
גבינית,גְּבִינִית,gvinít
גביע,גָּבִיעַ,gaví'a
גביר,גְּבִיר,gvir
גביש,גָּבִישׁ,gavísh
גבישון,גְּבִישׁוֹן,gvishón
גבית,גַּבִּית,gabít
גבל,גַּבָּל,gaál
גבל,גְּבָל,gval
גבן,גַּבָּן,gabán
גבן,גֶּבֶן,géven
גבן,גִּבֵּן,gibén
גבס,גֶּבֶס,géves
גבעול,גִּבְעוֹל,giv'ól
גבר,גֶּבֶר,gáver
גבר,גֶּבֶר,géver
גברי,גַּבְרִי,gavrí
גבריאל,גַּבְרִיאֵל,gavriél
גבריות,גַּבְרִיּוּת,gavriyút
גברת,גְּבֶרֶת,gvéret
גברתן,גְּבַרְתָּן,gvartán
גבתון,גִּבְּתוֹן,gibtón
גבתת,גֻּבְתַת,guvtát
גג,גַּג,gag
גד,גָּד,gad
גדגדן,גֻּדְגְּדָן,gudgedán
גדה,גָּדָה,gadá
גדוד,גְּדוּד,gdud
גדודי,גְּדוּדִי,gdudí
גדודית,גְּדוּדִית,gdudít
גדול,גִּדּוּל,gidúl
גדול,גָּדוֹל,gadól
גדולה,גְּדוֹלָה,gdolá
גדולות,גְּדוֹלוֹת,gdolót
גדוליניום,גָּדוֹלִינְיוּם,gadólinium
גדי,גְּדִי,gdi
גדי,גָּדִי,gádi
גדיד,גָּדִיד,gadíd
גדיל,גְּדִיל,gdil
גדיש,גָּדִישׁ,gadísh
גדל,גֹּדֶל,gódel
גדליה,גְּדַלְיָה,gdályah
גדליה,גְּדַלְיָה,gdalyá
גדם,גֶּדֶם,gédem
גדר,גָּדֵר,gadér
גדרת,גֹּדֶרֶת,godéret
גדש,גֹּדֶשׁ,gódesh
גדש,גָּדַשׁ,gadásh
גהוק,גִּהוּק,gihúk
גהץ,גָּהָץ,gahátz
גו,גֵּו,gev
גו,גּוֹ,go
גואש,גּוֹאָשׁ,góash
גוגו,גּוֹגוֹ,gogo
גוה,גֵּוָה,gevá
גוז'ון,גּוּז'וֹן,guzhón
גוזי,גוֹזִי,gozi
גוזל,גּוֹזָל,gozal
גוזניק,גוּזְנִיק,gúznik
גוחה,גּוֹחָה,gokhá
גוי,גוֹי,goy
גוי,גּוֹי,goy
גויבה,גּוּיָבָה,guyáva
גויי,גּוֹיֵי,goyéy
גויל,גְּוִיל,gvil
גול,גּוֹל,gol
גולדה,גּוֹלְדָּה,gólda
גולדן,גּוֹלְדֶּן,goldén
גולט,גּוּלֶט,gulét
גוליבר,גּוּלִיבֶר,gúliver
גוליר,גּוּלְיָר,goolyár
גולל,גּוֹלָל,golél
גולן,גּוֹלָן,golán
גולף,גּוֹלְף,golf
גולש,גּוֹלֵשׁ,golésh
גולש,גּוּלָשׁ,gulash
גומי,גּוּמִי,gúmi
גומיה,גּוּמִיָּה,gumiyá
גומלין,גּוֹמְלִין,gomlín
גון,גָּוֶן,gáven
גונדולה,גּוֹנְדוֹלָה,gondóla
גונדוליר,גּוֹנְדוֹלְיֵר,gondolyér
גונדי,גוֹנְדִי,gondi
גוסס,גּוֹסֵס,gosés
גוף,גּוּף,gufh
גוף,גּוּף,guf
גופה,גּוּפָה,gufá
גופי,גּוּפִי,gufí
גופיה,גּוּפִיָּה,gufiyá
גופיף,גּוּפִיף,gufíf
גופן,גּוֹפָן,gofán
גופני,גּוּפָנִי,gufaní
גופנית,גּוּפָנִית,gufanít
גור,גוּר,gur
גורילה,גּוֹרִילָה,gorilá
גורלי,גּוֹרָלִי,goralí
גורם,גּוֹרֵם,gorém
גורמה,גּוּרְמֵה,gurmé
גורנישט,גּוּרְנִישְׁט,gúrnisht
גורר,גּוֹרֵר,górer
גוררת,גּוֹרֶרֶת,goréret
גוש,גּוּשׁ,gush
גות,גֵּוַת,gevát
גז,גָּז,gaz
גז,גֵּז,gez
גזבר,גִּזְבָּר,gizbár
גזוז,גָּזוֹז,gazóz
גזזטרה,גְּזֻזְטְרָה,gzuztrá
גזי,גָּזִי,gazí
גזיבו,גָּזִיבּוֹ,gazíbo
גזים,גָּזִים,gazím
גזירה,גְּזִירָה,gzirá
גזית,גָּזִית,gazít
גזל,גָּזֵל,gazél
גזם,גָּזָם,gazam
גזע,גֶּזַע,géza
גזע,גֶּזַע,gezá
גזעול,גִּזְעוֹל,giz'ól
גזר,גֶּזֶר,gézer
גזר,גְּזַר,gzar
גזרה,גִּזְרָה,gizrá
גזרה,גְּזֵרָה,gzerá
גזרון,גִּזָּרוֹן,gizarón
גזרוני,גִּזְרוֹנִי,gizroní
גזרת,גִּזְרַת,gizrát
גזרת,גִּזְרַת,gizrat
גחון,גָּחוׂן,gakhón
גחון,גָּחוּן,gakhún
גחלילית,גַּחְלִילִית,gachlilít
גחלת,גַּחֶלֶת,gakhélet
גחמה,גַּחֲמָה,gakhamá
גט,גֵּט,get
גטו,גֶּטוֹ,géto
גיא,גַּיְא,guy
גיג,גִּיג,gig
גיד,גִּיד,gid
גיוס,גִּיּוּס,giyús
גיוס,גִּיוּס,giyús
גיור,גִּיּוּר,giyúr
גיורא,גִּיּוֹרָא,giyóra
גיחור,גִּיחוֹר,gichór
גיטרה,גִּיטָרָה,gitára
גיטריסט,גִּיטָרִיסְט,gitaríst
גיטרת,גִּיטָרַת,gitárat
גיידאר,גֵּייְדָאר,géydar
גיל,גִּיל,gil
גילנות,גִּילָנוּת,gilanút
גימטריה,גִּימַטְרִיָּה,gimátriya
גימיק,גִּימִיק,gímik
גימר,גֵּיְמֶר,géymer
גינקומסטיה,גִּינֵקוֹמַסְטְיָה,ginekomástya
גיס,גַּיִס,gáyis
גיס,גַּיָּס,gayás
גיסות,גְּיָסוֹת,gyasót
גיסן,גִּיסָן,gisán
גיסנית,גִּיסָנִית,gisanít
גיפן,גִּיפֶן,gifén
גיר,גִּיר,gir
גירוסקופ,גִּירוֹסְקוֹפּ,gíroskop
גירית,גִּירִית,girít
גישה,גֵּיְשָׁה,géysha
גישה,גִּישָׁה,gishá
גל,גַּל,gal
גלאית,גְּלָאִית,gla'ít
גלב,גַּלָּב,galáv
גלבו,גַּלְבּוֹ,gálbo
גלבוע,גִּלְבֹּעַ,gilbóa
גלביה,גָּלָבִּיָּה,galabíya
גלגול,גִּלְגּוּל,gilgúl
גלגל,גִּלְגָּל,gilgol
גלגל,גַּלְגַל,galgál
גלגל,גַּלְגַּל,gálgal
גלגל,גַּלְגַּל,galgál
גלגלות,גַּלְגָּלוֹת,galgalót
גלגלי,גַּלְגַּלֵּי,galgaléy
גלגלים,גַּלְגַּלִּים,galgalím
גלגלת,גֻּלְגֹּלֶת,gulgólet
גלגלת,גַּלְגֶּלֶת,galgélet
גלגשת,גַּלְגֶּשֶׁת,galgéshet
גלד,גֶּלֶד,géled
גלדיאטור,גְּלַדְיָאטוֹר,gladiátor
גלה,גִּלָּה,gíla
גלה,גִּלָּה,gilá
גלה,גִּלֹה,giló
גלה,גֻּלָּה,gulá
גלואון,גְּלוּאוֹן,gluon
גלובוס,גְּלוֹבּוּס,glóbus
גלובלית,גְּלוֹבָּלִית,globálit
גלוח,גִּלּוּחַ,gilúakh
גלוח,גָּלוּחַ,galúakh
גלוח,גִּלּוּחַ,giluákh
גלוטן,גְּלוּטֶן,glutén
גלוי,גָּלוּי,galúy
גלוי,גִּלּוּי,gilúy
גלוי,גִּלּוּי,giluí
גלוי,גָּלוּי,galuí
גלולה,גְּלוּלָה,glulá
גלולת,גְּלוּלַת,glulát
גלון,גָּלוֹן,galón
גלונומטר,גַּלְוָנוֹמֶטֶר,galvanométer
גלונופלסטיקה,גַּלְוָנוֹפְּלַסְטִיקָה,galvanoplástika
גלוני,גַּלְוָנִי,gálvani
גלוסקה,גְּלוּסְקָה,gluska
גלוסקמה,גְּלוֹסְקֵמָה,gloskemá
גלופה,גְּלוּפָה,glufá
גלופין,גִּלּוּפִין,gilufín
גלוקוז,גְּלוּקוֹז,glukóz
גלוקליזציה,גְּלוֹקָלִיזַצְיָה,glokalizátsya
גלזגו,גְלַזְגוֹ,glázgo
גלי,גֶּלִי,géli
גלי,גַּלִּי,galí
גלי,גַּלֵי,galéy
גלי,גְּלֵי,gley
גליאה,גַּלֵּיאָה,galéa
גליאון,גַּלֵיאוֹן,galeón
גליאסה,גַּלֵיאָסָה,galeása
גלידריה,גְּלִידֶרִיָּה,glideríya
גליום,גַּלְיוּם,galiúm
גליון,גִּלָּיוֹן,gilayón
גליון,גִּלְיוֹן,gilayón
גליון,גִּלְיוֹן,gilyón
גליל,גָּלִיל,galíl
גליל,גָּלִיל,gálil
גלילי,גְּלִילִי,glíli
גלים,גַּלִּים,galím
גלימה,גְּלִימָה,glimá
גליני,גַּלֵּינֵי,galéyne
גליף,גְּלִיף,glif
גליצרול,גְּלִיצֶרוֹל,glítserol
גליצריד,גְּלִיצֶרִיד,glitseríd
גליקוגן,גְּלִיקוֹגֶן,glikógen
גליקוליזה,גְלִיקוֹלִיזָה,glikolíza
גלל,גְּלַל,glal
גלל,גָּלָל,galál
גלם,גֹּלֶם,gólem
גלם,גֹּלֶם,góylem
גלם,גֶּלֶם,gelém
גלמוד,גַּלְמוּד,galmúd
גלמפינג,גְּלֶמְפִּינְג,glempíng
גלנוע,גַּלְנוֹעַ,galnóa
גלנטריה,גַּלֶנְטֶרְיָה,galentéryah
גלס,גַּלְס,gals
גלעד,גִּלְעָד,gil'ád
גלקטוז,גָּלַקְטוֹז,galaktóz
גלריה,גָּלֶרְיָה,galéryah
גלשן,גַּלְשַׁן,gálshan
גלשן,גַּלְשָׁן,galshán
גלת,גֻּלַּת,gulát
גם,גַּם,gam
גמא,גֹּמֶא,góme
גמבה,גַּמְבָּה,gámba
גמגום,גִּמְגּוּם,gimgúm
גמד,גַּמָּד,gamád
גמד,גֹּמֶד,gómed
גמדות,גַּמָּדוּת,gamadút
גמה,גֻּמָּה,gumá
גמול,גָּמוּל,gamúl
גמול,גְּמוּל,gmul
גמזית,גַּמָּזִית,gamazít
גמחה,גֻּמְחָה,gumkhá
גמי,גֻּמִּי,gúmi
גמילה,גְּמִילָה,gmilá
גמילות,גְּמִילוּת,gmilút
גמיש,גָּמִישׁ,gamísh
גמישות,גְּמִישׁוֹת,gmishót
גמישים,גְּמִישִׁים,gmishím
גמל,גַּמָּל,gamál
גמל,גָּמָל,gamál
גמל,גֶּמֶל,gémel
גמל,גָּמֵל,gamél
גמל,גְּמַל,gmál
גמלה,גַּמְלָה,gamlá
גמלה,גְּמַלָּה,gmaláh
גמלון,גַּמְלוֹן,gamlón
גמלוני,גַּמְלוֹנִי,gamloní
גמלת,גַּמֶּלֶת,gamélet
גמר,גְּמֹר,gmor
גמר,גָּמַר,gámar
גמר,גְּמָר,gmar
גמרא,גְמָרָא,gmará
גן,גֵּן,gen
גן,גַּן,gán
גן,גַּן,gan
גנאי,גְּנַאי,gnai
גנאלוג,גֵּנֵאָלוֹג,génalog
גנב,גַּנָּב,ganáv
גנבים,גַּנָּבִים,ganavím
גנבת,גְּנֵבַת,gnévat
גנגווי,גַּנְגְוֵוי,gángway
גנדה,גֻּנְדָּה,gundá
גנדר,גֻּנְדָּר,gundár
גנדרן,גַּנְדְּרָן,gandrán
גנה,גִּנָּה,giná
גנוב,גָּנוּב,ganúv
גנובים,גְּנוּבִים,gnuvím
גנוטיפ,גֶּנוֹטִיפּ,genotíp
גנום,גֶּנוֹם,genom
גנומיקה,גֶּנוֹמִיקָה,genómika
גנון,גַּנּוֹן,ganón
גנון,גְּנוּן,gnun
גנון,גִּנּוּן,ginún
גנונה,גְּנוֹנָה,gnoná
גנוסיא,גֶּנוּסְיָא,ginúsya
גנוסר,גִּנּוֹסָר,ginosár
גנטי,גֶּנֶטִי,genéti
גנטיקה,גֶּנֶטִיקָה,genétika
גנטית,גֶּנֶטִית,genétit
גניקולוג,גֶּנִיקוֹלוֹג,genikólog
גניקולוגיה,גֶּנִיקוֹלוֹגְיָה,genikológya
גנן,גַּנָּן,ganán
גנרטור,גֵּנֵרָטוֹר,generátor
גנרל,גֵּנֵרָל,generál
גס,גַּס,gas
גס,גַּס,gás
גסה,גַּסָּה,gása
גסה,גַּסָּה,gasá
גסה,גַּסָּה,gasáh
גסטרואנטרולוגיה,גַּסְטְרוֹאֶנְטְרוֹלוֹגְיָה,gastroenterológya
גסטרולוגיה,גַּסְטְרוֹלוֹגְיָה,gastrológya
גסטרונומיה,גַּסְטְרוֹנוֹמְיָה,gastronómya
געגוע,גִּעְגּוּעַ,gi'agú'a
געגוע,גַּעְגּוּעַ,ga'agú'a
געוואלד,גֵעוואַלְדּ,geváld
געל,גֹּעַל,góal
געשית,גַּעֲשִׁית,ga'ashít
גף,גַּף,gaf
גפילטע,גֶּפִילְטֶע,gefílte
גפיר,גָּפִיר,gafír
גפן,גֶּפֶן,géfen
גפר,גֹּפֶר,gófer
גפרה,גָּפְרָה,gofrá
גפרור,גַּפְרוּר,gafrúr
גפרורים,גַּפְרוּרִים,gafrurím
גפרית,גָּפְרִית,gofrít
גפריתי,גָּפְרִיתִי,gofrití
גפרתית,גָּפְרָתִית,gofratít
גפת,גֶּפֶת,géfet
גץ,גֵּץ,getz
גר,גֵּר,ger
גראד,גְּרָאד,grad
גראוט,גְּרָאוּט,graut
גרב,גָּרָב,garáv
גרב,גֶּרֶב,gérev
גרב,גֶּרֶב,gerév
גרבוץ,גִּרְבּוּץ,girbúts
גרביון,גַרְבִּיוֹן,garbiyon
גרביטציה,גְּרָבִיטַצְיָה,gravitátsya
גרגרן,גַּרְגְּרָן,gargerán
גרגרנות,גַּרְגְּרָנוּת,gargeranút
גרדום,גַּרְדּוֹם,gardóm
גרוג,גְּרוֹג,grog
גרוגרת,גְּרוֹגֶרֶת,grogéret
גרוד,גֵּרוּד,gerúd
גרוזיני,גְּרוּזִינִי,gruzíni
גרוטאה,גְּרוּטָאָה,gruta'á
גרוטה,גְּרוּטָה,grutá
גרוטסקה,גְּרוֹטֶסְקָה,grotéska
גרוטסקי,גְּרוֹטֶסְקִי,grotéski
גרוי,גֵּרוּי,gerúy
גרון,גָּרוֹן,garón
גרונטולוגיה,גֶּרוֹנְטוֹלוֹגְיָה,gerontológya
גרונטופיליה,גֶּרוֹנְטוֹפִילְיָה,gerontofílya
גרונית,גְּרוֹנִית,gronít
גרוס,גָּרוּס,garús
גרוס,גָּרוֹס,garós
גרופית,גְּרוֹפִית,grofít
גרור,גָּרוּר,garoór
גרוש,גֵּרוּשׁ,gerúsh
גרוש,גְּרוּשׁ,grush
גרוש,גָּרוּשׁ,garúsh
גרושין,גֵּרוּשִׁין,gerushín
גרז,גֶּרֶז,gérez
גרזן,גַּרְזֶן,garzén
גרטל,גַרְטְל,gártel
גריד,גָּרִיד,garíd
גרידא,גְּרֵידָא,gréda
גרידה,גְּרִידָה,gridá
גריז,גְּרִיז,griz
גריטה,גְּרִיטָה,gritá
גריל,גְּרִיל,gril
גרילה,גֶּרִילָה,gerilá
גרין,גְּרֵיְן,greyn
גרין,גְרִין,grin
גרינגו,גְּרִינְגּוֹ,gríngo
גריניץ',גְּרִינִיץ',griních
גריס,גְּרִיס,gris
גרירה,גְּרִירָה,griráh
גרירה,גְּרִירָה,grirá
גרם,גֶּרֶם,gérem
גרם,גְּרָם,gram
גרמושקה,גַּרְמוֹשְׁקָה,garmóshka
גרמני,גֶּרְמָנִי,germaní
גרמניה,גֶּרְמַנְיָה,germánya
גרמניום,גֶּרְמַנְיוּם,garmaniúm
גרמנית,גֶּרְמָנִית,germanít
גרנדה,גְּרֵנָדָה,grenáda
גרנולה,גְּרָנוֹלָה,granóla
גרנוליט,גְּרָנוֹלִיט,granolít
גרנט,גְּרָנָט,granát
גרסא,גִּרְסָא,gírsa
גרסה,גִּרְסָה,girsá
גרסת,גִּרְסַת,gírsat
גרעינון,גַּרְעִינוֹן,garinón
גרעיני,גַּרְעִינִי,gar'iní
גרעיני,גַּרְעִינִי,garíni
גרעיני,גַּרְעִינִי,gareiní
גרעינית,גַּרְעִינִית,gar'inít
גרעינית,גַּרְעִינִית,gárinit
גרף,גְּרָף,graf
גרפה,גְּרַפָּה,grápa
גרפומניה,גְּרָפוֹמַנְיָה,grafománya
גרפי,גְּרָפִי,grafi
גרפיט,גְּרָפִיט,grafít
גרפת,גְּרֹפֶת,grófet
גרר,גָּרַר,garár
גרר,גְּרָר,grar
גרר,גְּרָר,grár
גררה,גְּרָרָה,grará
גרש,גֶּרֶשׂ,géres
גרש,גֶּרֶשׁ,géresh
גשבור,גִּשּׁבּוֹר,gishbúr
גשור,גִּשּׁוּר,gishúr
גשור,גִּשּׁוּר,gíshur
גשוש,גָּשׁוֹשׁ,gashósh
גשטלט,גֶּשְׁטַלְט,gestált
גשם,ׁגֶּשֶׁם,géshem
גשם,גֶּשֶׁם,géshem
גשמיות,גַּשְׁמִיּוּת,gashmiyút
גשפנקה,גֻּשְׁפַּנְקָה,gushpanká
גשר,גֶשֶׁר,gésher
גשר,גֶּשֶׁר,gésher
גשש,גַּשָּׁשׁ,gashásh
גת,גַּת,gat
גת,גָּת,gat
גתית,גִּתִּית,gitít
דאבון,דַאֲבוֹן,da'avón
דאה,דָּאָה,daá
דאודורנט,דֶּאוֹדוֹרַנְט,deodoránt
דאוין,דַּאַוִין,da'awín
דאון,דָּאוּן,dawn
דאון,דָּאוֹן,daón
דאר,דֹּאַר,dóar
דאר,דֹּאַר,dó'ar
דאתרא,דְּאַתְרָא,de'atrá
דב,דֹּב,dov
דבא,דֹבֶא,dóve
דבדבן,דֻּבְדְּבָן,duvdeván
דבה,דֶּבָּה,déba
דבה,דֻּבָּה,dubá
דבה,דִּבָּה,dibá
דבוג,דִּבּוּג,dibug
דבון,דֻּבּוֹן,dubón
דבון,דֵּבוֹן,devón
דבוק,דִּבּוּק,dibúk
דבור,דִּבּוּר,dibúr
דבור,דָּבוּר,davúr
דבור,דַּבּוּר,dabúr
דבוראי,דְּבוֹרַאי,dvoraí
דבורה,דְּבוֹרָה,dvorá
דבורית,דִּבּוּרִית,diburít
דבורנית,דְּבוֹרָנִית,dvoranít
דבי,דֻּבִּי,dúbi
דביבון,דְּבִיבוֹן,dvivón
דביל,דֶּבִּיל,debíl
דביר,דְּבִיר,dvir
דבע,דְּבַּע,dbá
דבק,דֶּבֶק,dévek
דבקה,דָּבְקָה,davkáh
דבקה,דְּבֻקָּה,dvuká
דבקות,דְּבֵקוּת,dvekút
דבר,דַּבָּר,dabár
דבר,דַבָר,davar
דבר,דִּבֵּר,dabér
דבר,דָּבָר,davár
דבר,דִּבֵּר,dibér
דבר,דֶּבֶר,déver
דבר,דָבָר,davár
דבר,דֹּבֶר,dóver
דברה,דִּבְרָה,divrá
דברי,דִּבְרֵי,divré
דברי,דִּבְרֵי,divréy
